top_level_category,subcategory,product_name,image_url,product_url,price
special-buys,easter,Moser Roth Mini Finest Eggs 150g,https://www.aldi.com.au/fileadmin/fm-dam/Products/Special_Buys/Special_Buys_2019/Week_06/WED/WK06_1x1_228x128_1.jpg,https://www.aldi.com.au/en/special-buys/easter/irresistible-easter-detail/ps/p/moser-roth-mini-finest-eggs-150g/,$3.49
special-buys,easter,Dairy Fine Chocolate Novelties 150g,https://www.aldi.com.au/fileadmin/fm-dam/Products/Special_Buys/Special_Buys_2019/Week_06/WED/WK06_1x1_228x128_4.jpg,https://www.aldi.com.au/en/special-buys/easter/irresistible-easter-detail/ps/p/dairy-fine-chocolate-novelties-150g-5/,$1.99
special-buys,easter,MaltEaster Bunny 29g,https://www.aldi.com.au/fileadmin/fm-dam/Products/Special_Buys/Special_Buys_2019/Week_06/WED/WK06_1x1_228x128_7.jpg,https://www.aldi.com.au/en/special-buys/easter/irresistible-easter-detail/ps/p/malteaster-bunny-29g-5/,99c
special-buys,easter,Licensed Collection Egg 10g,https://www.aldi.com.au/fileadmin/fm-dam/Products/Special_Buys/Special_Buys_2019/Week_06/WED/WK06_1x1_228x128_8.jpg,https://www.aldi.com.au/en/special-buys/easter/irresistible-easter-detail/ps/p/licensed-collection-egg-10g/,$1.99
special-buys,easter,Cadbury Dairy Milk Hollow Egg 50g,https://www.aldi.com.au/fileadmin/fm-dam/Products/Special_Buys/Special_Buys_2019/Week_06/WED/WK06_1x1_228x128_3.jpg,https://www.aldi.com.au/en/special-buys/easter/irresistible-easter-detail/ps/p/cadbury-dairy-milk-hollow-egg-50g-1/,$1.99
special-buys,easter,Cadbury Mixed Egg Bag 213g,https://www.aldi.com.au/fileadmin/fm-dam/Products/Special_Buys/Special_Buys_2019/Week_10/WED/WK10_1x1_228x128_7.jpg,https://www.aldi.com.au/en/special-buys/easter/irresistible-easter-detail/ps/p/cadbury-mixed-egg-bag-213g-1/,$5.99
special-buys,easter,Dairy Fine Speckled Eggs 100g,https://www.aldi.com.au/fileadmin/fm-dam/Products/Special_Buys/Special_Buys_2019/Week_10/WED/WK10_1x1_228x128_8.jpg,https://www.aldi.com.au/en/special-buys/easter/irresistible-easter-detail/ps/p/dairy-fine-speckled-eggs-100g-3/,$1.89
special-buys,easter,Belmont Biscuit Co. Assorted Wafer Rolls,https://www.aldi.com.au/fileadmin/fm-dam/Products/Special_Buys/Special_Buys_2019/Week_06/WED/WK06_1x1_228x128_2.jpg,https://www.aldi.com.au/en/special-buys/easter/irresistible-easter-detail/ps/p/belmont-biscuit-co-assorted-wafer-rolls/,$2.49
special-buys,easter,Dairy Fine Giant Standing Bunny 400g,https://www.aldi.com.au/fileadmin/fm-dam/images/Easter_2019/Products/WK12/WK12_EASTER_1x1_388x314_1.jpg,https://www.aldi.com.au/en/special-buys/easter/irresistible-easter-detail/ps/p/dairy-fine-giant-standing-bunny-400g/,$7.99
special-buys,easter,Dairy Fine Big Bag Chocolate Eggs 500g,https://www.aldi.com.au/fileadmin/fm-dam/images/Easter_2019/Products/WK12/WK12_EASTER_1x1_388x314_2.jpg,https://www.aldi.com.au/en/special-buys/easter/irresistible-easter-detail/ps/p/dairy-fine-big-bag-chocolate-eggs-500g/,$8.99
special-buys,easter,Dairy Fine Chocolate Easter Bag 300g,https://www.aldi.com.au/fileadmin/fm-dam/images/Easter_2019/Products/WK12/WK12_EASTER_1x1_388x314_3.jpg,https://www.aldi.com.au/en/special-buys/easter/irresistible-easter-detail/ps/p/dairy-fine-chocolate-easter-bag-300g-1/,$4.99
